customer_id,income,loan_amount,credit_score,employment_years,debt_ratio,risk_level
1,68690.21545015712,10071.513513092363,519,3,0.36614593797572725,Low Risk
2,143592.8598332891,27553.14642153955,462,17,0.1516325044375242,High Risk
3,115159.21243548267,43774.345957944,519,18,0.18626193847318104,Medium Risk
4,97825.60294561475,36879.0194340685,569,34,0.3839871486580403,Medium Risk
5,40282.42325751675,40521.496245211034,699,39,0.2481788067566442,High Risk
6,40279.28764370634,33280.38496882515,481,13,0.5691578643256581,High Risk
7,27550.86958186593,34921.55166137477,504,32,0.5093701147420254,High Risk
8,132602.89895074157,42610.58692670064,527,13,0.5917836032568315,Low Risk
9,98144.95152661715,13233.732434100111,549,33,0.229835419475207,Medium Risk
10,112049.43511348592,24981.823218513884,740,3,0.5848618163989885,High Risk
11,22675.98425845432,11839.26264916051,832,23,0.3156169348957789,Medium Risk
12,146088.28078105926,49395.7323918357,495,28,0.2737593976568773,Low Risk
13,128217.54330405482,47258.90764464405,818,18,0.12517476348467663,Low Risk
14,47604.0843881759,2931.913757056789,369,5,0.12638262892980132,Low Risk
15,43637.24573692308,35573.183453268735,698,32,0.4460056279733273,Low Risk
16,43842.5862809464,46337.167553367624,502,39,0.32896449721701393,Medium Risk
17,59551.4915847399,9848.191911239343,447,18,0.21326081301805286,Low Risk
18,88218.33611219093,28829.316297078843,771,0,0.4069851531626163,Low Risk
19,76152.85242347505,45858.92658181405,498,4,0.2264290591250556,High Risk
20,57859.78822574545,2663.352950704143,725,26,0.38881587717221133,Low Risk
21,99540.87631390934,35173.59309509516,791,15,0.27960437349134515,High Risk
22,38134.20188476544,15570.101361254987,441,5,0.5117761133059096,Low Risk
23,57978.80430957836,46295.41357344999,612,39,0.5103480803833896,Low Risk
24,67627.03962817992,48581.85401310302,464,12,0.3386751990612007,High Risk
25,79289.09794821468,47269.05796655826,613,34,0.2754095546675078,Low Risk
26,122072.87498109177,24236.496616215725,320,18,0.28127989827954725,Medium Risk
27,45957.59168058677,43240.089898476355,381,11,0.5028572628341089,Medium Risk
28,86850.47699376951,42382.92052821845,430,15,0.26408974139880603,Low Risk
29,97013.89395206553,16635.923188919525,604,9,0.20452968685342302,Medium Risk
30,26038.553653599705,41616.85823338319,670,24,0.14234417093765342,High Risk
31,98980.83074718699,2813.3741010591384,683,19,0.33334656044220423,Low Risk
32,42168.136079347896,30217.2240456206,744,30,0.3410660494599209,Low Risk
33,28456.70708808634,12270.43302709745,724,3,0.5204543552014536,High Risk
34,143355.11984293332,6907.777403086661,460,22,0.210619348223032,High Risk
35,145532.16429969273,4770.706879831248,477,1,0.2904956368342,High Risk
36,125091.65525513995,35118.15001802885,789,21,0.5042028694468454,Low Risk
37,59599.789992538186,17653.87322463524,626,36,0.5118118053744868,High Risk
38,32697.374820829904,36513.57180490931,588,7,0.2923055379893841,High Risk
39,108950.2934465804,4202.460699148176,653,6,0.3295620116433404,Medium Risk
40,77219.82418614818,16449.226553699904,327,13,0.2516429454246415,Medium Risk
41,35864.97052982125,27435.073326391524,342,2,0.566277439209656,Low Risk
42,84372.99831446513,39745.435077109214,722,15,0.15932188287079016,Medium Risk
43,24470.507744978393,16618.872643671428,476,18,0.566874711500735,Medium Risk
44,138211.65227024167,31668.677445413447,828,17,0.4419332259176716,High Risk
45,53641.3976080022,44412.90966357317,793,15,0.3657860763433656,High Risk
46,106127.89696601765,31177.296220932923,497,7,0.11632953039224794,Medium Risk
47,60522.43989162343,12415.014262928054,816,32,0.3377980959110042,Medium Risk
48,87608.8427531154,2195.638296270363,813,11,0.3038740525013661,Medium Risk
49,91072.33631462636,43634.84482114556,321,10,0.18060940598756128,Low Risk
50,44031.07921831851,2042.2011316689698,411,4,0.4282048017503285,Low Risk
51,146046.0016093926,43860.381961525774,356,26,0.5855754536841429,Low Risk
52,120767.26703694489,26917.91956733339,365,11,0.3810944055322626,Medium Risk
53,142134.8624033446,47014.31722713191,397,16,0.45737663822197294,Medium Risk
54,136327.55555559433,40140.378552909606,443,5,0.1342252262830084,Low Risk
55,97726.99724544107,49898.77141613354,734,32,0.30883349790849735,Low Risk
56,139843.6505530052,18184.8789571338,385,4,0.15817924258224794,Medium Risk
57,31504.025266749537,38592.22615762522,643,27,0.4063979177682552,High Risk
58,45477.77211448888,20694.614766852865,593,13,0.5692410791070773,Low Risk
59,25879.547558369948,24513.90539489153,542,4,0.43088886623581923,Medium Risk
60,62292.94299922437,31747.767697700136,331,32,0.13840152415721077,Medium Risk
61,70528.04765963266,43810.1785951306,690,18,0.2773331024925414,High Risk
62,55275.37413060647,49220.08999076546,576,21,0.37533168972042574,Medium Risk
63,127735.87618975081,38645.397279361394,831,4,0.30160387806662614,Medium Risk
64,66377.9324701666,21470.572326199355,453,1,0.5168220052375861,Low Risk
65,56521.4862593595,21646.493111576438,682,29,0.5073355023549946,Low Risk
66,90550.4908105723,37141.53277785568,367,38,0.40591551005161075,High Risk
67,38320.14924671914,12700.080142646815,513,3,0.28672897256635266,High Risk
68,124285.60749802516,6413.231543438338,675,32,0.22766818688162208,Medium Risk
69,29691.583678370207,18376.48572439805,512,12,0.15293715910656466,Low Risk
70,148295.30175806725,15074.710591050005,378,19,0.277448841743277,High Risk
71,120391.82000856547,15519.097902343514,680,6,0.3065862586038598,High Risk
72,45833.038599442414,12446.779801445588,357,14,0.43791146255203683,High Risk
73,20717.87522606831,3062.5662921817325,325,22,0.4290799121487867,Medium Risk
74,126009.98569912845,1875.8228019372768,746,13,0.13505406982062848,Low Risk
75,111891.45470019022,49398.39709706554,365,22,0.2976296577155789,High Risk
76,114770.93184532835,21960.883553057254,553,18,0.19088943360868096,Low Risk
77,120265.14506917294,19832.005710824404,343,28,0.17840635265840285,High Risk
78,29625.804725431746,34302.716851960424,396,19,0.5136510748686229,High Risk
79,66600.54471075544,11694.440505388144,526,28,0.12095760835812877,Low Risk
80,35062.97773826686,47548.098013561044,735,23,0.3095914379510607,Low Risk
81,132203.44536382717,39530.90570636205,678,17,0.1841018278832591,Low Risk
82,101028.75648758253,5381.139113300716,477,9,0.539665107839237,Medium Risk
83,63016.7432308444,21461.458013461488,726,7,0.37852025663751754,High Risk
84,28262.585537183073,44076.79707054607,606,25,0.21569031818842402,Medium Risk
85,60427.701823036085,47291.86909227911,803,28,0.3512136435831882,Low Risk
86,62273.83186347711,23902.674051243615,567,9,0.4657431798515579,High Risk
87,114848.80318394833,31057.158071324677,307,16,0.5790590044597169,Medium Risk
