transaction_id,amount,transaction_type,country,merchant,time,device,previous_fraud_count,is_fraud
1,3746.0266483547775,cash_out,UK,Target,36963,Mobile,1,0
2,9507.192349792751,cash_in,CA,Target,54330,Desktop,2,0
3,7320.207424172239,payment,DE,Amazon,51707,Desktop,4,0
4,5986.986183486169,cash_in,DE,Walmart,18689,Tablet,2,0
5,1561.0303857839228,cash_in,UK,Netflix,29084,Mobile,0,0
6,1560.7892088416902,cash_out,US,Netflix,40387,Desktop,2,0
7,581.7780380698264,cash_in,CA,Amazon,74816,Desktop,1,0
8,8661.895281603576,cash_out,DE,Walmart,2642,Desktop,0,0
9,6011.549002420345,transfer,UK,Apple,42137,Tablet,3,0
10,7081.017705382659,transfer,DE,Amazon,79832,Desktop,4,0
11,206.82435846372866,cash_out,CA,Amazon,55561,Desktop,4,1
12,9699.128611767781,transfer,CA,Netflix,62260,Mobile,2,0
13,8324.593965363418,payment,IN,Amazon,15438,Mobile,0,0
14,2124.1787676720833,cash_in,UK,Amazon,48442,Desktop,3,0
15,1819.067847103799,payment,CA,Amazon,2994,Desktop,0,0
16,1834.8616940244847,cash_in,IN,Netflix,1813,Mobile,4,0
17,3043.118187352418,transfer,IN,Apple,84381,Tablet,0,0
18,5248.039559890746,payment,DE,Apple,55276,Tablet,3,0
19,4320.018241402516,transfer,DE,Amazon,41243,Tablet,2,0
20,2913.0001728402212,cash_in,IN,Netflix,62912,Tablet,1,0
21,6118.917094329072,cash_out,DE,Apple,60272,Tablet,0,0
22,1395.7991126597663,cash_out,CA,Apple,42051,Tablet,1,0
23,2922.1543407036465,payment,US,Apple,78854,Tablet,4,0
24,3664.2520710936233,transfer,CA,Netflix,82736,Tablet,2,0
25,4561.243772186142,transfer,IN,Netflix,65618,Mobile,2,0
26,7851.974437968743,payment,IN,Amazon,1920,Tablet,0,0
27,1997.538147801439,cash_out,CA,Target,77219,Tablet,2,0
28,5142.830149697703,cash_in,DE,Apple,76872,Tablet,0,0
29,5924.553274051563,payment,DE,Target,81132,Desktop,0,0
30,465.45767678725724,cash_in,IN,Netflix,2093,Mobile,1,0
31,6075.840974162482,cash_out,UK,Netflix,12905,Mobile,2,0
32,1706.070712749228,transfer,DE,Netflix,24351,Mobile,0,0
33,651.4508782598099,cash_out,CA,Target,30981,Tablet,1,0
34,9488.906486996078,payment,DE,Netflix,73903,Tablet,3,0
35,9656.35469871252,transfer,CA,Amazon,70821,Desktop,1,0
36,8084.165083816495,payment,IN,Netflix,82289,Mobile,1,0
37,3046.8330779645335,payment,DE,Walmart,84021,Tablet,0,0
38,977.6234679498323,cash_out,CA,Target,78513,Mobile,4,0
39,6842.646032095056,payment,IN,Walmart,19874,Desktop,4,0
40,4402.084784902273,cash_out,UK,Netflix,50931,Desktop,4,0
41,1221.2603102129435,transfer,CA,Amazon,7674,Desktop,1,0
42,4952.273924202591,cash_out,UK,Apple,50516,Mobile,0,0
43,344.85082263106875,transfer,UK,Netflix,60686,Tablet,2,1
44,9093.294700385743,cash_out,US,Amazon,69212,Tablet,1,0
45,2588.5410360185692,cash_in,DE,Target,2426,Desktop,1,0
46,6625.560321255466,cash_in,CA,Walmart,68498,Tablet,0,0
47,3117.79904981802,payment,UK,Walmart,29943,Desktop,3,0
48,5201.160143756931,cash_out,US,Walmart,66395,Mobile,1,0
49,5467.556083153453,cash_out,IN,Target,44816,Desktop,3,0
50,1849.3597007997448,transfer,CA,Amazon,4138,Mobile,3,0
51,9695.87669301782,payment,UK,Target,75945,Desktop,4,0
52,7751.553100787784,cash_out,DE,Walmart,4017,Tablet,0,0
53,9395.049916700327,payment,US,Netflix,10451,Tablet,3,0
54,8948.37867692606,cash_in,UK,Apple,62956,Desktop,0,0
55,5979.401888132041,cash_out,DE,Target,10278,Tablet,4,0
