user_id,device_id,location,login_time,ip_address,browser,is_suspicious
1,dev_103,London,36877,192.168.1.178,Safari,0
2,dev_436,New York,15313,192.168.1.171,Edge,0
3,dev_349,Mumbai,80885,192.168.1.147,Chrome,0
4,dev_271,Mumbai,72715,192.168.1.197,Safari,1
5,dev_107,New York,10326,192.168.1.51,Safari,0
6,dev_72,Berlin,1560,192.168.1.11,Edge,0
7,dev_189,New York,79148,192.168.1.248,Firefox,0
8,dev_21,London,83186,192.168.1.12,Edge,0
9,dev_103,New York,26745,192.168.1.74,Safari,0
10,dev_122,Mumbai,31890,192.168.1.8,Safari,1
11,dev_467,New York,20022,192.168.1.152,Firefox,0
12,dev_215,Berlin,52579,192.168.1.252,Firefox,0
13,dev_331,Toronto,70316,192.168.1.220,Firefox,0
14,dev_459,New York,83847,192.168.1.41,Edge,0
15,dev_88,Berlin,28380,192.168.1.164,Firefox,0
16,dev_373,Berlin,2356,192.168.1.229,Safari,0
17,dev_100,Mumbai,70326,192.168.1.85,Safari,0
18,dev_360,Berlin,20049,192.168.1.72,Chrome,0
19,dev_152,Berlin,75717,192.168.1.55,Edge,0
20,dev_131,Berlin,16082,192.168.1.137,Chrome,0
21,dev_150,Berlin,661,192.168.1.47,Safari,0
22,dev_309,London,37412,192.168.1.143,Chrome,0
23,dev_258,London,2920,192.168.1.176,Safari,0
24,dev_344,Mumbai,60315,192.168.1.238,Chrome,0
25,dev_492,New York,79561,192.168.1.104,Firefox,0
26,dev_414,Berlin,8946,192.168.1.210,Chrome,0
27,dev_294,New York,45500,192.168.1.42,Firefox,0
28,dev_386,New York,16309,192.168.1.60,Firefox,0
29,dev_192,Mumbai,55230,192.168.1.212,Edge,0
30,dev_444,Berlin,30027,192.168.1.198,Firefox,0
31,dev_277,Berlin,72541,192.168.1.12,Firefox,0
32,dev_161,Toronto,59321,192.168.1.130,Chrome,0
33,dev_460,New York,956,192.168.1.7,Safari,0
34,dev_314,New York,74131,192.168.1.80,Edge,0
35,dev_22,London,47908,192.168.1.131,Firefox,0
36,dev_253,Toronto,78339,192.168.1.109,Edge,1
37,dev_236,London,25963,192.168.1.3,Chrome,0
38,dev_345,London,39443,192.168.1.27,Firefox,0
39,dev_49,London,39063,192.168.1.114,Chrome,0
40,dev_475,Mumbai,80818,192.168.1.107,Edge,1
41,dev_59,Mumbai,4703,192.168.1.40,Chrome,0
42,dev_170,London,65128,192.168.1.230,Edge,0
43,dev_476,Toronto,72099,192.168.1.161,Chrome,0
44,dev_188,New York,25849,192.168.1.220,Edge,0
45,dev_464,Toronto,31860,192.168.1.129,Safari,0
46,dev_271,Berlin,31585,192.168.1.247,Chrome,0
47,dev_190,Mumbai,22015,192.168.1.8,Chrome,0
48,dev_446,New York,77539,192.168.1.101,Safari,0
49,dev_175,New York,43585,192.168.1.160,Safari,1
50,dev_446,Berlin,26958,192.168.1.124,Chrome,0
51,dev_51,Berlin,26017,192.168.1.176,Safari,0
52,dev_364,London,76707,192.168.1.107,Firefox,0
53,dev_55,Mumbai,45350,192.168.1.101,Edge,0
54,dev_244,Mumbai,12201,192.168.1.4,Edge,0
55,dev_320,Toronto,29426,192.168.1.222,Edge,0
56,dev_131,London,17778,192.168.1.198,Firefox,0
57,dev_485,London,45241,192.168.1.110,Safari,0
58,dev_307,London,42229,192.168.1.246,Safari,0
59,dev_135,London,48364,192.168.1.19,Chrome,0
60,dev_21,Mumbai,84878,192.168.1.32,Safari,0
61,dev_329,Mumbai,57056,192.168.1.137,Chrome,0
62,dev_167,London,27490,192.168.1.12,Firefox,0
63,dev_274,Toronto,19975,192.168.1.139,Edge,0
64,dev_388,New York,26723,192.168.1.46,Edge,1
65,dev_89,New York,23279,192.168.1.119,Edge,0
66,dev_316,Toronto,78301,192.168.1.16,Safari,0
67,dev_14,London,11561,192.168.1.129,Chrome,0
68,dev_242,Mumbai,66061,192.168.1.63,Chrome,0
69,dev_265,New York,49153,192.168.1.109,Firefox,0
70,dev_346,Berlin,33142,192.168.1.119,Safari,0
71,dev_53,Berlin,26916,192.168.1.245,Firefox,0
72,dev_386,Toronto,64324,192.168.1.21,Chrome,0
73,dev_340,London,44965,192.168.1.158,Chrome,0
74,dev_92,New York,4648,192.168.1.13,Edge,1
75,dev_367,London,35133,192.168.1.162,Safari,0
76,dev_444,New York,50677,192.168.1.4,Chrome,0
77,dev_455,Toronto,70135,192.168.1.156,Edge,0
78,dev_428,Toronto,35046,192.168.1.102,Safari,0
79,dev_264,Berlin,47064,192.168.1.250,Firefox,0
80,dev_431,London,69350,192.168.1.223,Safari,0
81,dev_35,Berlin,45893,192.168.1.59,Safari,0
82,dev_206,London,61272,192.168.1.247,Chrome,0
83,dev_81,Berlin,67649,192.168.1.128,Chrome,0
84,dev_420,Mumbai,64674,192.168.1.27,Safari,0
85,dev_50,Mumbai,13760,192.168.1.69,Chrome,0
86,dev_360,Mumbai,21927,192.168.1.25,Chrome,0
87,dev_388,Mumbai,61367,192.168.1.131,Chrome,0
88,dev_2,New York,12588,192.168.1.97,Edge,0
89,dev_390,Mumbai,52233,192.168.1.196,Edge,0
90,dev_54,Toronto,44738,192.168.1.25,Safari,0
91,dev_106,Toronto,33397,192.168.1.148,Chrome,0
92,dev_260,New York,82189,192.168.1.162,Edge,0
93,dev_310,Mumbai,76367,192.168.1.154,Safari,0
94,dev_477,Mumbai,71260,192.168.1.126,Chrome,0
95,dev_191,Mumbai,76619,192.168.1.254,Firefox,0
96,dev_402,Berlin,19816,192.168.1.133,Chrome,0
97,dev_218,London,42240,192.168.1.227,Chrome,0
98,dev_44,Berlin,6276,192.168.1.189,Edge,0
99,dev_162,London,79530,192.168.1.220,Safari,1
100,dev_202,Mumbai,23499,192.168.1.221,Safari,1
101,dev_446,Mumbai,82495,192.168.1.9,Edge,0
102,dev_484,Berlin,71635,192.168.1.116,Chrome,0
103,dev_270,Berlin,85112,192.168.1.230,Firefox,0
104,dev_351,London,35946,192.168.1.178,Chrome,1
105,dev_304,Toronto,55204,192.168.1.134,Chrome,0
106,dev_271,London,51886,192.168.1.211,Firefox,0
107,dev_456,Berlin,71652,192.168.1.60,Edge,0
108,dev_462,Berlin,15563,192.168.1.172,Safari,0
